id,DATEREMISEJ1,DATERECJ1,DATEREMISEJ2,DATERECJ2,J1,N1,J2,N2,time_firstcapture,time_secondcapture,time_total,time_J1,time_N1,time_J2,wardType,newID
006-0102-L-D,2020-05-14T09:56:00Z,2020-05-14T10:30:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,34,0,34,0,0,34,General paediatrics,General paediatrics
006-0105-T-M,2020-05-14T12:46:00Z,2020-05-14T18:48:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,362,0,362,0,0,359,General paediatrics,General paediatrics
006-0104-A-A,2020-05-14T10:45:00Z,2020-05-14T18:55:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,490,0,490,0,0,480,General paediatrics,General paediatrics
006-0107-G-H,2020-05-14T13:42:00Z,2020-05-14T14:35:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,53,0,53,0,0,53,General paediatrics,General paediatrics
006-0108-B-E,2020-05-14T13:42:00Z,2020-05-14T14:26:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,44,0,44,0,0,44,General paediatrics,General paediatrics
006-0109-B-P,2020-05-14T14:37:00Z,2020-05-14T17:05:00Z,NA,NA,2020-05-13T04:45:00Z,2020-05-13T18:45:00Z,2020-05-14T04:45:00Z,2020-05-14T18:45:00Z,148,0,148,0,0,148,General paediatrics,General paediatrics
018-0008-M-L,2020-05-18T05:03:00Z,2020-05-18T12:19:00Z,NA,NA,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,436,0,436,436,0,0,Geriatry,Geriatry #1
018-0009-P-H,2020-05-18T05:03:00Z,2020-05-18T13:12:00Z,2020-05-19T04:47:00Z,2020-05-19T11:59:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,489,432,921,489,0,432,Geriatry,Geriatry #1
018-0010-K-G,2020-05-18T05:05:00Z,2020-05-18T14:27:00Z,NA,NA,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,562,0,562,562,0,0,Geriatry,Geriatry #1
018-0011-T-I,2020-05-18T05:08:00Z,2020-05-18T12:20:00Z,2020-05-19T11:43:00Z,2020-05-19T19:18:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,432,455,887,432,0,422,Geriatry,Geriatry #1
018-0012-F-N,2020-05-18T05:08:00Z,2020-05-18T12:20:00Z,2020-05-19T04:47:00Z,2020-05-19T11:57:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,432,430,862,432,0,430,Geriatry,Geriatry #1
018-0013-L-M,2020-05-18T05:10:00Z,2020-05-18T13:12:00Z,2020-05-19T04:47:00Z,2020-05-19T11:59:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,482,432,914,482,0,432,Geriatry,Geriatry #1
018-0014-F-F,2020-05-18T05:14:00Z,2020-05-18T13:12:00Z,2020-05-19T05:07:00Z,2020-05-19T11:20:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,478,373,851,478,0,373,Geriatry,Geriatry #1
018-0022-D-F,2020-05-18T07:29:00Z,2020-05-18T15:40:00Z,2020-05-19T08:00:00Z,2020-05-19T10:30:00Z,2020-05-18T04:45:00Z,2020-05-18T18:45:00Z,2020-05-19T04:45:00Z,2020-05-19T18:45:00Z,491,150,641,491,0,150,Geriatry,Geriatry #1
